dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
36_speech,t100,103,adjusted,176,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,177,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,178,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,179,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,180,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,181,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,182,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,183,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,184,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,185,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,186,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,187,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,188,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,189,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,190,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,191,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,192,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,193,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,194,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,195,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,196,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,197,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,198,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,199,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,200,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,201,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,202,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,203,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,204,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,205,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,206,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,207,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,208,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,209,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,210,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,211,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,212,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,213,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,214,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,215,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,216,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,217,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,218,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,219,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,220,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,221,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,222,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,223,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,224,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,225,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,226,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,227,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,228,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,229,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,230,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,231,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,232,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,233,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,234,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,235,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,236,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,237,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,238,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,239,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,240,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,241,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
